language,BCP-47 code,ISO 639-3 code
Mokpwe,NaN,bri
Bieria,NaN,brj
Birked,NaN,brk
Birwa,NaN,brl
Barambu,NaN,brm
Boruca,NaN,brn
Brokkat,NaN,bro
Barapasi,NaN,brp
Breri,NaN,brq
Birao,NaN,brr
Baras,NaN,brs
Bitare,NaN,brt
"Bru, Eastern",NaN,bru
Western Bru,NaN,brv
Bellari,NaN,brw
Bodo (India),NaN,brx
Burui,NaN,bry
Bilbil,NaN,brz
Abinomn,NaN,bsa
Brunei Bisaya,NaN,bsb
Oniyan,NaN,bsc
Wushi,NaN,bse
Bauchi,NaN,bsf
Bashkardi,NaN,bsg
Kati,NaN,bsh
Bassossi,NaN,bsi
Bangwinji,NaN,bsj
Burushaski,NaN,bsk
Basa-Gumna,NaN,bsl
Busami,NaN,bsm
Barasana-Eduria,NaN,bsn
Baga Sitemu,NaN,bsp
Bassa,NaN,bsq
Bassa-Kontagora,NaN,bsr
Akoose,NaN,bss
Basketo,NaN,bst
Bahonsuai,NaN,bsu
Baiso,NaN,bsw
Yangkam,NaN,bsx
Sabah Bisaya,NaN,bsy
Bata,NaN,bta
Bati (Cameroon),NaN,btc
Batak Dairi,NaN,btd
Gamo-Ningi,NaN,bte
Birgit,NaN,btf
Gagnoa Bété,NaN,btg
Biatah Bidayuh,NaN,bth
Burate,NaN,bti
Bacanese Malay,NaN,btj
Batak Mandailing,NaN,btm
Ratagnon,NaN,btn
Rinconada Bikol,NaN,bto
Budibud,NaN,btp
Batek,NaN,btq
Baetora,NaN,btr
Batak Simalungun,NaN,bts
Bete-Bendi,NaN,btt
Batu,NaN,btu
Bateri,NaN,btv
Butuanon,NaN,btw
Batak Karo,NaN,btx
Bobot,NaN,bty
Batak Alas-Kluet,NaN,btz
Bua,NaN,bub
Bushi,NaN,buc
Ntcham,NaN,bud
Beothuk,NaN,bue
Bushoong,NaN,buf
Younuo Bunu,NaN,buh
Bongili,NaN,bui
Basa-Gurmana,NaN,buj
Bugawac,NaN,buk
Bulgarian,bul_Cyrl,bul
Bulu (Cameroon),NaN,bum
Sherbro,NaN,bun
Terei,NaN,buo
Busoa,NaN,bup
Brem,NaN,buq
Bokobaru,NaN,bus
Bungain,NaN,but
Budu,NaN,buu
Bun,NaN,buv
Bubi,NaN,buw
Boghom,NaN,bux
Bullom So,NaN,buy
Bukwen,NaN,buz
Barein,NaN,bva
Bube,NaN,bvb
Baelelea,NaN,bvc
Baeggu,NaN,bvd
Berau Malay,NaN,bve
Boor,NaN,bvf
Bonkeng,NaN,bvg
Bure,NaN,bvh
Belanda Viri,NaN,bvi
Baan,NaN,bvj
Bukat,NaN,bvk
Bamunka,NaN,bvm
Buna,NaN,bvn
Bolgo,NaN,bvo
Birri,NaN,bvq
Burarra,NaN,bvr
Bati (Indonesia),NaN,bvt
Bukit Malay,NaN,bvu
Baniva,NaN,bvv
Boga,NaN,bvw
Dibole,NaN,bvx
Baybayanon,NaN,bvy
Bauzi,NaN,bvz
Bwatoo,NaN,bwa
Namosi-Naitasiri-Serua,NaN,bwb
Bwile,NaN,bwc
